Pong-v0,0.999,32,100000,50000,1.0,0.1,1000000,4,2500,5e-05
step,rew_mean,len_mean,episode_count
605000,-13.3,3885.23,1024
606000,-13.23,3891.65,1026
607000,-13.25,3890.6,1027
608000,-13.25,3890.6,1027
609000,-13.23,3892.16,1028
610000,-13.22,3901.62,1030
611000,-13.22,3904.97,1031
612000,-13.22,3904.97,1031
613000,-13.17,3912.41,1032
614000,-13.12,3922.9,1034
615000,-13.11,3918.59,1035
616000,-13.11,3918.59,1035
617000,-13.11,3918.59,1035
618000,-13.11,3933.43,1038
619000,-13.1,3946.5,1039
620000,-13.1,3946.5,1039
621000,-13.1,3946.5,1039
622000,-13.1,3942.81,1040
623000,-13.04,3969.7,1042
624000,-13.04,3969.7,1042
625000,-12.92,4000.82,1044
626000,-12.92,4000.82,1044
627000,-12.9,4008.94,1045
628000,-12.88,4029.9,1046
629000,-12.89,4027.86,1048
630000,-12.89,4027.86,1048
631000,-12.85,4026.48,1049
632000,-12.79,4040.88,1050
633000,-12.81,4033.99,1051
634000,-12.79,4034.94,1052
635000,-12.78,4027.89,1053
636000,-12.81,4020.86,1055
637000,-12.84,4000.41,1056
638000,-12.84,4000.41,1056
639000,-12.78,4007.66,1057
640000,-12.79,4006.23,1058
641000,-12.73,4011.33,1059
642000,-12.64,4023.59,1060
643000,-12.66,4015.85,1061
644000,-12.69,4010.13,1062
645000,-12.73,3997.12,1063
646000,-12.76,3984.89,1065
647000,-12.76,3978.1,1066
648000,-12.76,3978.1,1066
649000,-12.76,3978.1,1066
650000,-12.73,3953.09,1069
651000,-12.71,3943.58,1070
652000,-12.71,3943.58,1070
653000,-12.71,3933.91,1071
654000,-12.7,3944.08,1073
655000,-12.67,3939.7,1074
656000,-12.67,3939.7,1074
657000,-12.71,3923.85,1076
658000,-12.71,3923.85,1076
659000,-12.63,3927.43,1077
660000,-12.55,3942.81,1078
661000,-12.52,3938.08,1080
662000,-12.52,3938.08,1080
663000,-12.47,3935.63,1082
664000,-12.44,3937.29,1083
665000,-12.43,3943.33,1084
666000,-12.43,3943.33,1084
667000,-12.45,3944.5,1086
668000,-12.48,3951.59,1087
669000,-12.46,3967.34,1088
670000,-12.46,3967.34,1088
671000,-12.46,3967.34,1088
672000,-12.33,3984.35,1091
673000,-12.33,3984.35,1091
674000,-12.4,3975.74,1092
675000,-12.38,3970.63,1093
676000,-12.32,3980.52,1095
677000,-12.32,3980.52,1095
678000,-12.35,3985.13,1096
679000,-12.35,3975.92,1097
680000,-12.32,3983.93,1098
681000,-12.32,3983.93,1098
682000,-12.24,4002.68,1100
683000,-12.2,4007.89,1101
684000,-12.18,4018.05,1102
685000,-12.17,4017.0,1103
686000,-12.19,4016.46,1104
687000,-12.24,4012.93,1106
688000,-12.24,4012.93,1106
689000,-12.25,4015.02,1108
690000,-12.25,4015.02,1108
691000,-12.23,4021.9,1109
692000,-12.2,4038.11,1110
693000,-12.1,4041.21,1112
694000,-12.16,4029.21,1113
695000,-12.16,4029.21,1113
696000,-12.15,4019.98,1115
697000,-12.16,4012.63,1116
698000,-12.17,4016.01,1117
699000,-12.17,4016.01,1117
700000,-12.18,4008.75,1118
701000,-12.13,4017.4,1119
702000,-12.11,4027.54,1120
703000,-12.03,4046.85,1121
704000,-12.04,4049.12,1122
705000,-12.03,4050.92,1123
706000,-12.03,4050.92,1123
707000,-12.02,4060.64,1125
708000,-12.02,4060.64,1125
709000,-12.03,4063.57,1126
710000,-11.96,4078.44,1128
711000,-11.95,4081.62,1129
712000,-11.95,4081.62,1129
713000,-11.95,4081.62,1129
714000,-11.92,4091.99,1132
715000,-11.85,4103.64,1133
716000,-11.85,4103.64,1133
717000,-11.85,4103.64,1133
718000,-11.88,4099.29,1134
719000,-11.84,4104.53,1136
720000,-11.8,4120.27,1137
721000,-11.8,4120.27,1137
722000,-11.8,4120.27,1137
723000,-11.83,4110.63,1139
724000,-11.76,4125.77,1141
725000,-11.76,4125.77,1141
726000,-11.76,4125.77,1141
727000,-11.8,4111.13,1142
728000,-11.89,4099.39,1144
729000,-11.85,4110.32,1145
730000,-11.85,4110.32,1145
731000,-11.85,4110.32,1145
732000,-11.83,4101.53,1146
733000,-11.69,4131.78,1148
734000,-11.65,4142.08,1149
735000,-11.65,4142.08,1149
736000,-11.65,4133.23,1151
737000,-11.65,4133.23,1151
738000,-11.61,4151.34,1153
739000,-11.61,4151.34,1153
740000,-11.6,4151.56,1155
741000,-11.6,4151.56,1155
742000,-11.56,4161.57,1157
743000,-11.56,4161.57,1157
744000,-11.54,4149.75,1159
745000,-11.54,4149.75,1159
746000,-11.55,4139.62,1160
747000,-11.53,4142.8,1161
748000,-11.45,4147.21,1163
749000,-11.45,4147.21,1163
750000,-11.38,4156.82,1165
751000,-11.35,4156.62,1166
752000,-11.31,4153.84,1167
753000,-11.33,4148.02,1168
754000,-11.35,4138.71,1169
755000,-11.4,4137.6,1170
756000,-11.4,4137.6,1170
757000,-11.3,4142.54,1172
758000,-11.3,4142.95,1173
759000,-11.27,4148.55,1174
760000,-11.3,4145.05,1175
761000,-11.24,4147.36,1176
762000,-11.22,4152.51,1177
763000,-11.29,4133.63,1178
764000,-11.25,4134.17,1179
765000,-11.26,4134.91,1180
766000,-11.2,4135.63,1181
767000,-11.13,4138.77,1182
768000,-11.11,4142.88,1183
769000,-11.09,4140.23,1184
770000,-11.12,4135.28,1185
771000,-11.06,4132.5,1187
772000,-11.05,4123.05,1188
773000,-11.05,4123.05,1188
774000,-11.08,4121.56,1189
775000,-11.14,4108.0,1191
776000,-11.14,4108.0,1191
777000,-11.07,4107.18,1192
778000,-11.04,4109.93,1193
779000,-10.97,4113.59,1194
780000,-10.92,4122.69,1195
781000,-10.87,4120.65,1196
782000,-10.9,4116.84,1197
783000,-10.86,4123.64,1198
784000,-10.91,4108.78,1199
785000,-10.88,4112.96,1200
786000,-10.88,4112.96,1200
787000,-10.82,4122.58,1202
788000,-10.82,4122.58,1202
789000,-10.72,4138.28,1204
790000,-10.72,4138.28,1204
791000,-10.76,4137.82,1205
792000,-10.7,4145.52,1207
793000,-10.63,4156.11,1208
794000,-10.63,4156.11,1208
795000,-10.6,4143.98,1210
796000,-10.6,4143.98,1210
797000,-10.53,4156.39,1211
798000,-10.54,4162.95,1212
799000,-10.5,4165.09,1214
800000,-10.5,4165.09,1214
801000,-10.49,4170.43,1216
802000,-10.48,4158.41,1217
803000,-10.42,4161.5,1218
804000,-10.42,4161.5,1218
805000,-10.44,4156.7,1219
806000,-10.48,4127.04,1221
807000,-10.42,4133.85,1222
808000,-10.45,4126.88,1223
809000,-10.45,4126.88,1223
810000,-10.49,4102.15,1226
811000,-10.49,4102.15,1226
812000,-10.45,4109.93,1227
813000,-10.62,4063.15,1230
814000,-10.62,4063.15,1230
815000,-10.62,4063.15,1230
816000,-10.54,4052.7,1232
817000,-10.59,4036.3,1234
818000,-10.59,4036.3,1234
819000,-10.59,4036.3,1234
820000,-10.65,3995.11,1238
821000,-10.65,3995.11,1238
822000,-10.65,3995.11,1238
823000,-10.65,3995.11,1238
824000,-10.66,3989.04,1240
825000,-10.54,4006.37,1242
826000,-10.54,4006.37,1242
827000,-10.54,4006.37,1242
828000,-10.42,4010.4,1244
829000,-10.42,4010.4,1244
830000,-10.43,4008.77,1246
831000,-10.43,4008.77,1246
832000,-10.43,4008.77,1246
833000,-10.45,3988.86,1249
834000,-10.43,3995.68,1250
835000,-10.43,3995.68,1250
836000,-10.43,3995.68,1250
837000,-10.43,3991.31,1252
838000,-10.45,3988.7,1253
839000,-10.43,3996.02,1254
840000,-10.43,3996.02,1254
841000,-10.47,3995.86,1255
842000,-10.45,3996.55,1256
843000,-10.34,4015.84,1258
844000,-10.34,4015.84,1258
845000,-10.34,4015.84,1258
846000,-10.42,4006.13,1259
847000,-10.43,4018.43,1262
848000,-10.43,4018.43,1262
849000,-10.43,4018.43,1262
850000,-10.52,4013.76,1264
851000,-10.45,4030.86,1266
852000,-10.45,4030.86,1266
853000,-10.5,4026.31,1267
854000,-10.5,4026.31,1267
855000,-10.47,4046.11,1269
856000,-10.42,4054.47,1270
857000,-10.42,4054.47,1270
858000,-10.45,4057.38,1271
859000,-10.45,4057.38,1271
860000,-10.43,4067.7,1274
861000,-10.43,4067.7,1274
862000,-10.39,4074.78,1275
863000,-10.39,4074.78,1275
864000,-10.44,4079.12,1276
865000,-10.41,4097.31,1278
866000,-10.42,4097.79,1279
867000,-10.42,4097.79,1279
868000,-10.53,4081.27,1281
869000,-10.6,4086.37,1282
870000,-10.54,4095.37,1283
871000,-10.54,4095.37,1283
872000,-10.51,4100.98,1284
873000,-10.44,4113.18,1285
874000,-10.44,4113.18,1285
875000,-10.38,4136.68,1286
876000,-10.32,4156.56,1288
